utterance,recognition,correction,correction correct,correction accepted,comment,,"if recognition is blank, utterance matches recognition"
hi,,get a move block,0,0,,,
what's up,,get a turn block,0,0,,,
my name is david,,get a move block,0,0,,,
nice to meet you,,get a move block,0,0,,,
hey,,get a move block,0,0,,,
i like apples,,get a move block,0,0,,,
get me an apple,damien apple,get a move block,0,0,,,
get me an apple,,get a turn block,0,1,,,
i want to eat an apple,,get a turn block,0,0,,,
i like oranges too,,get a turn block,0,0,,,
don't get a turn block,,get a turn block,0,1,,,
don't get a move block,,get a move block,0,1,,,
get a move wait stop,,get a move block,0,1,,,
quit,,get a move block,0,0,,,
exit,,get a move block,0,0,,,
i like chickens,,delete block 1,0,0,,,
undo,,get a turn block,0,0,,,
redo,free deer,get a turn block,0,0,,,
help,,get a move block,0,0,,,
i want my mommy,,get a turn block,0,0,,,
can you help me,,get a move block,0,0,,,
thanks,,delete block 2,0,0,,,
alexa,,get a pen block,0,0,echo dot turned on,,
move block 2 under block 1,remove block to under block wine,connect block 2 under block 1,0,1,nonrigid grammar,,
erase black 1,,delete block 1,0,1,nonrigid grammar,,
put a move block on the board,how to remove block on the board,get a move block,0,0,,,
grab a turn block,,get a turn block,0,1,nonrigid grammar,,
i like repeat blocks,,get a repeat block,0,1,nonrigid grammar,,
hey jerry,aj,get a move block,0,0,,,
hey jerry,,get a pen block,0,0,,,
hey ara,kiara,get a move block,0,0,,,
hey david,,get a move block,0,0,,,
i want dinner,,get a turn block,0,0,,,
whens dinner,,get a turn block,0,0,,,
am i done yet,,get a turn block,0,0,,,
im bored,,get a move block,0,0,,,
this sucks,blue socks,delete block 6,0,0,,,
this sucks,sucks,get a move block,0,0,,,
i hate life,,get a turn block,0,0,,,
i want to play computer games,,get a move block,0,0,,,
iphone sucks,,get a turn block,0,0,,,
move the turtle up,move the turtle app,get a turn block,0,1,,,
this is too hard,,get a move block,0,0,,,
i want to play a different game,,get a turn block,0,0,,,
it doesn't even look like a turtle,then even look like it turned off,get a turn block,0,0,,,
it doesn't even look like a turtle,even look like a turtle,go the next level,0,0,,,
that's not a turtle,,get a turn block,0,0,,,
what kind of turtle is white,,get a turn block,0,0,,,
an albino one,,delete block 1,0,1,bummer,,
isn't this supposed to be fun,,run the program,0,0,it is,,
i hate this,,stay on this level,0,0,,,
lets eat mcdonalds,mcdonalds,get at urn block,0,0,,,
p equals np,,get a move block,0,0,,,
pi equals 3,,get a color block,0,0,,,
e equals 2.5,equals 2.5,get a move block,0,0,,,
a square is round,,run the program,0,0,,,
get a move block,ghetto move block,get amove block,1,1,,,
run the program,from the program,run the program,1,1,,,
stay on this level,sale on this level,stay on this level,1,1,,,
go to the next level,,go to the next level,1,1,,,
go to next level,tonight's weather,stay on this level,0,0,,,
go to next level,,go to the next level,1,1,nonrigid grammar,,
stay level,,stay on this level,1,1,,,
stay,,get a move block,0,0,,,
stay here,same here,get a move block,0,0,,,
next,,get a turn block,0,0,,,
next level,,go to the next level,0,0,,,
move block,,get a move block,0,1,nonrigid grammar,,
turn block,block,get a move block,0,1,,,
turn block,,get a turn block,0,1,nonrigid grammar,,
connect block 2 under block 1,conect block 200 block 1,connect block 2 under block 1,1,1,,,
stay on this level,,stay on this level,1,1,,,
go to the next level,,go to the next level,1,1,,,
get a move block,,get a move block,1,1,,,
get a turn block,get a time block,get a turn block,1,1,,,
get a move block,the move block,get a move block,1,1,,,
run the program,running program,run the program,1,1,,,
get a repeat block,,get a repeat block,1,1,,,
get a move block,can i move block,get a move block,1,1,,,
get a turn block,return block,get a turn block,1,1,,,
connect block 3 under block 2,next block 300 block 2,connect block 3 under block 2,1,1,,,
connect block 2 inside block 1,inside block block,get a color block,0,1,bad,,
delete block 4,delete block 2,delete block 2,0,1,bad,,
What did you say,What did you say,get a move block,0,0,,,
How are you,How are you,get a move block,0,0,,,
Can I say,Can I say,get a turn block,0,0,,,
What time is it,What time is it,get a turn block,0,0,,,
What is the date today,What is the date today,run the program,0,0,,,
Food is really good,Food is really good,get a repeat block,0,0,,,
How come,How come,get a move block,0,0,,,
Seriously ,Seriously ,get a move block,0,0,,,
What,What,get a turn block,0,0,,,
Why,fly,get a move block,0,0,,,
What do you think,What do you think,get a move block,0,0,,,
So we need to do change that,So we need to do change that,get a turn block,0,0,,,
How is everything going,How is everything going,run the program,0,0,,,
Here is what I think we should do,here's what i think we should do,get a repeat block,0,0,,,
I'm trying to think,I'm trying to think,get a repeat block,0,0,,,
I don't want to do this,I don't want to do this,stay on this level,0,0,,,
Can we go play outside,we go play outside,get a pen block,0,0,,,
Coding is fun,Coding is fun,get a turn block,0,0,,,
Coding is boring,Coding is boring,get a move block,0,0,,,
This is fun,This is fun,stay on this level,0,0,,,
I don't think so,I don't think so,get a turn block,0,0,,,
I think so,I think so,get a move block,0,0,,,
Can you solve this problem,Can you solve this problem,run the program,0,1,,,
Do you have any questions,Do you have any questions,go to the next level,0,0,,,
Any questions,Any questions,get a pen block,0,0,,,
Do you want to do something else,i want to do something else,i want to do something else,0,0,,,
Have you tried moving that block under that block,Have you tried moving that block under that block,get a move block,0,0,,,
Have you thought about doing it this way,Have you thought about doing it this way,get a repeat block,0,0,,,
What do you want to do,What do you want to do,get a move block,0,0,,,
Why can't you move that one,remove that one,get a move block,0,0,,,
What is in your workspace,What is in your workspace,get a turn block,0,0,,,
What's in your workspace,What's in your workspace,get a turn block,0,0,,,
How do I do that,How do I do that,get a move block,0,0,,,
Its not working anymore,Its not working anymore,get a turn block,0,0,,,
I already told it to do that,i already told you that,get a repeat block,0,0,,,
I'm not sure what to do,I'm not sure what to do,get a repeat block,0,0,,,
I don't know what to do,I don't know what to do,get a move block,0,0,,,
I think,I think,get a move block,0,0,,,
Should you do that,Should you do that,get a move block,0,0,,,
I am a boy,I am a boy,get a move block,0,0,,,
This is my friend,This is my friend,get a move block,0,0,,,
We like to play outside,We like to play outside,get a pen block,0,0,,,
I enjoy this,i enjoyed this,get a move block,0,0,,,
Children,Children,get a turn block,0,0,,,
Hello,Hello,get a move block,0,0,,,
Like,Lake,get a move block,0,0,,,
Sure,Sure,get a move block,0,0,,,
Totally,Totally,get a move block,0,0,,,
There isn't anything for me to do,There isn't anything for me to do,get a move block,0,0,,,
I can but I already tried that,I can but I already tried that,run the program,0,0,,,
Look what i did,Look what i did,get a turn block,0,0,,,
What is this,What is this,get a turn block,0,0,,,
I want to make a game,I want to make a game,get a move block,0,0,,,
Games are fun,Games are fun,get a move block,0,0,,,
Soccer is my favorite sport,my favorite sport,get a turn block,0,0,,,
Need,Need,get a turn block,0,0,,,
Lemons,Lemons,get a turn block,0,0,,,
Lemonade,Lemonade,get a turn block,0,0,,,
Good,Good,get a turn block,0,0,,,
I'm just going to ask you a few questions,I'm just going to ask you a few questions,go to the next level,0,0,,,
Look at the page,Look at the page,get a turn block,0,0,,,
Notesheet,note sheet,get a move block,0,0,,,
How did you sleep last night,How did you sleep last night,get a move block,0,0,,,
Soccer field,Soccer field,get a turn block,0,0,,,
Can i go home,Can i go home,run the program,0,0,,,
Mom said i could,Mom said i could,get a pen block,0,0,,,
Dad said i could,Dad said i could,get a pen block,0,0,,,
Awaiting your command,Awaiting your command,run the program,0,0,,,
Create a program that draws a line,Create a program that draws a line,run the program,0,1,,,
Move,Move,get a move block ,0,0,,,
Turn block,Turn block,get a turn block,0,1,,,
Pen ,pain,get a pen block,0,0,,,
Set color,Set color,get a color block,0,0,,,
Repeat ,Repeat ,get a repeat block,0,0,,,
Add,Add,get a move block,0,0,,,
Suggestions,Suggestions,get a pen block,0,0,,,
Delete,Delete,delete block 1,0,0,,,
Run,Run,get a turn block,0,0,,,
Trace,Trace,get a move block,0,0,,,
Ara,aura,get a move block,0,0,,,
Evan,Evan,get a turn block,0,0,,,
David,David,get a move block,0,0,,,
Try something new,Try something new,get a move block,0,0,,,
Try something else,Try something else,get a move block,0,0,,,
How come,How come,get a move block,0,0,,,
Great job,Great job,get a turn block,0,0,,,
