Name,Utterance,Recognition,Correct?,Verb,Extra notes,116,,,,
Ara,get a move block,get a move block,1,G,,,,,,
Ara,get a move block,get a move block,1,G,,,,,,
Ara,get a move block,get a move block,1,G,,,,,,
Ara,get a move block,get a move block,1,G,,,,,,
Ara,get a move block,get a move block,1,G,,,,,,
Ara,get a turn block,pattern block,0,G,,,,,,
Ara,get a turn block,get a turn block,1,G,,,,,,
Ara,get a turn block,get a turn block,1,G,,,,,,
Ara,get a turn block,get a turn block,1,G,,,,,,
Ara,get a turn block,go to turn block,0,G,,,,,,
Ara,get a repeat block,go to repeat block,0,G,,,,,,
Ara,get a repeat block,get a repeat block,1,G,,,,,,
Ara,get a repeat block,get a repeat block,1,G,,,,,,
Ara,get a repeat block,get a repeat block,1,G,,,,,,
Ara,get a repeat block,get repeat block,0,G,,,,,,
Ara,connect block 3 under block 2,connect block 3 under block 2,1,C,,,,,,
Ara,connect block 3 under block 2,connect block 300 block 2,0,C,,,,,,
Ara,connect block 2 under block 1,connect block 2 under block 1,1,C,,,,,,
Ara,connect block 2 under block 1,connect block 2 under block 1,1,C,,,,,,
Ara,connect block 3 under block 2,connect block 300 block 2,0,C,,,,,,
Ara,connect block 3 under block 2,connect block 300 block 2,0,C,,,,,,
Ara,connect block 4 under block 3,connect block 400 block 3,0,C,,,,,,
Ara,connect block 4 under block 3,connect block 400 block 3,0,C,,,,,,
Ara,change 4 in block 1 to 5,4 + block 1 to 5,0,H,,,,,,
Ara,change 4 in block 1 to 3,change 4 in block 1 2 3,0,H,,,,,,
Ara,change 4 in block 1 to 1,change 4 in block 1 to one,0,H,,,,,,
Ara,change right in block 6 to left,change right and block 6 to left,0,H,,,,,,
Ara,change right in block 6 to left,change white and block 6 to left,0,H,,,,,,
Ara,change left in block 6 to right,change left in block 6 to write,0,H,,,,,,
Ara,connect block 2 inside block 1,connect to inside block 1,0,C,,,,,,
Ara,connect block 2 inside block 1,connect to inside block 1,0,C,,,,,,
Ara,connect block 2 inside block 1,connect block 2 inside block 1,1,C,,,,,,
Ara,connect block 3 inside block 1,connect block 3 inside block 1,1,C,,,,,,
Ara,connect block 5 under block 2,connect block 5 under plus 2,0,C,,,,,,
Ara,connect block 5 under block 2,connect block 500 block 2,0,C,,,,,,
Evan,get a move block,get a move block,1,G,,,,,,
Evan,get a move block,get a move block,1,G,,,,,,
Evan,get a move block,get a move block,1,G,,,,,,
Evan,get a repeat block,get a repeat block,1,G,,,,,,
Evan,get a repeat block,get a repeat block,1,G,,,,,,
Evan,get a repeat block,get a repeat block,1,G,,,,,,
Evan,get a turn block,pattern block,0,G,,,,,,
Evan,get a turn block,get a turn block,1,G,,,,,,
Evan,get a turn block,turn block,0,G,,,,,,
Evan,get a pen block,get up and block,0,G,,,,,,
Evan,get a pen block,get up and block,0,G,,,,,,
Evan,get a pen block,get up and block,0,G,,,,,,
Evan,get a pen block,get a pen block,1,G,,,,,,
Evan,get a color block,get a color block,1,G,,,,,,
Evan,get a color block,get a color block,1,G,,,,,,
Evan,get a color block,get a color block,1,G,,,,,,
Evan,connect block 2 under block 1,connect block 2 under block 1,1,C,,,,,,
Evan,connect block 2 under block 1,connect block 2 under block 1,1,C,,,,,,
