Utterance,Recognition,Name,Correct?,Verb,Extra notes,116,,,,
get a move block,get a move block,Ara,1,G,,,,,,
get a turn block,pattern block,Ara,0,G,,,,,,
get a repeat block,go to repeat block,Ara,0,G,,,,,,
get a repeat block,get repeat block,Ara,0,G,,,,,,
connect block 3 under block 2,connect block 3 under block 2,Ara,1,C,,,,,,
connect block 3 under block 2,connect block 300 block 2,Ara,0,C,,,,,,
connect block 2 under block 1,connect block 2 under block 1,Ara,1,C,,,,,,
connect block 3 under block 2,connect block 300 block 2,Ara,0,C,,,,,,
connect block 4 under block 3,connect block 400 block 3,Ara,0,C,,,,,,
change 4 in block 1 to 5,4 + block 1 to 5,Ara,0,H,,,,,,
change 4 in block 1 to 3,change 4 in block 1 2 3,Ara,0,H,,,,,,
change 4 in block 1 to 1,change 4 in block 1 to one,Ara,0,H,,,,,,
change right in block 6 to left,change right and block 6 to left,Ara,0,H,,,,,,
change right in block 6 to left,change white and block 6 to left,Ara,0,H,,,,,,
change left in block 6 to right,change left in block 6 to write,Ara,0,H,,,,,,
connect block 2 inside block 1,connect to inside block 1,Ara,0,C,,,,,,
connect block 2 inside block 1,connect block 2 inside block 1,Ara,1,C,,,,,,
connect block 3 inside block 1,connect block 3 inside block 1,Ara,1,C,,,,,,
connect block 5 under block 2,connect block 5 under plus 2,Ara,0,C,,,,,,
connect block 5 under block 2,connect block 500 block 2,Ara,0,C,,,,,,
get a turn block,turn block,Evan,0,G,,,,,,
get a pen block,get up and block,Evan,0,G,,,,,,
get a pen block,get a pen block,Evan,1,G,,,,,,
get a color block,get a color block,Evan,1,G,,,,,,
connect block 2 under block 1,connect block 2 under block 1,Evan,1,C,,,,,,
connect block 4 under block 3,connect block 4 under block 3,Evan,1,C,,,,,,
connect block 2 inside block 4,connect block 2 in sidewalk 4,Evan,0,C,,,,,,
connect block 2 inside block 4,connect block 2 inside block 4,Evan,1,C,,,,,,
connect block 1 inside block 3,connect block 1 in sidewalk 3,Evan,0,C,,,,,,
connect block 2 inside block 4,connect block 2 inside block 4,Evan,1,C,,,,,,
change 4 in block 4 to 5,change 4 + block 4 to 5,Evan,0,H,,,,,,
change 4 in block 4 to 5,change foreign block 4 to 5,Evan,0,H,,,,,,
